id,source,target
1970 - 1980,1970 - 1980,Australia
1977,1970 - 1980,English
1990 - 2000,1970 - 1980,1977
1995,1977,"Вайт(Уайт), Патрік: Жіноча рука: Повість, № 12"
1980 - 1990,1990 - 2000,Australia
1986,1990 - 2000,English
1960 - 1970,1990 - 2000,1995
1961,1995,"Вайт(Уайт), Патрік: Повне черево: Оповідання, № 5/6"
1950 - 1960,1980 - 1990,Australia
1959,1980 - 1990,English
1958,1980 - 1990,1986
1991,1986,"Емері, Джон: Соснова ущелина: Оповідання, № 11"
1978,1980 - 1990,Australia
1960,1980 - 1990,English
1981,1980 - 1990,1986
1976,1986,"Кейсі, Гевін: Голос земної глибіні: Оповідання, № 11"
1998,1980 - 1990,Australia
1980,1980 - 1990,English
1994,1980 - 1990,1986
1984,1986,"Кері, Пітер: Американські мрії: Оповідання, № 11"
1973,1960 - 1970,Australia
1990,1960 - 1970,English
1993,1960 - 1970,1961
1963,1961,"К’юсак, Дімфна: Літо в Берліні: Роман, № 10"
2000,1960 - 1970,Australia
1999,1960 - 1970,English
1920 - 1930,1960 - 1970,1961
1928,1961,"К’юсак, Дімфна: Літо в Берліні: Роман, № 11"
1992,1980 - 1990,Australia
1968,1980 - 1990,English
1966,1980 - 1990,1986
1975,1986,"Маршалл, Алан: Четверо у святкових костюмах: Оповідання, № 11"
1930 - 1940,1950 - 1960,Australia
1932,1950 - 1960,English
1988,1950 - 1960,1959
1962,1959,"Маршалл, Алан: Я навчився стрибати через калюжі: Повість, № 04"
1926,1950 - 1960,Australia
1927,1950 - 1960,English
1972,1950 - 1960,1958
1979,1958,"Моррісон, Джон: Зустріч: Оповідання, № 04"
1970,1980 - 1990,Australia
1974,1980 - 1990,English
1985,1980 - 1990,1986
1997,1986,"Моррісон, Джон: Світ чоловіків: Оповідання, № 11"
1989,1990 - 2000,Australia
1996,1990 - 2000,English
1983,1990 - 2000,1991
1987,1991,"Моррісон, Р. Г: Поезії, № 04"
1967,1980 - 1990,Australia
1969,1980 - 1990,English
1965,1980 - 1990,1986
1971,1986,"О’Грейді, Десмонд: Барбекю: Оповідання, № 11"
1964,1980 - 1990,Australia
1934,1980 - 1990,English
1982,1980 - 1990,1986
1933,1986,"Оуклі, Баррі: Авіалист із Центральної Австралії: Оповідання, № 11"
1929,1980 - 1990,Australia
1930,1980 - 1990,English
1931,1980 - 1990,1986
1925,1986,"Палмер, Вене: Пташка-райдуга: Оповідання, № 11"
Australia,1980 - 1990,Australia
English,1980 - 1990,English
"Вайт(Уайт), Патрік: Жіноча рука: Повість, № 12",1980 - 1990,1986
"Вайт(Уайт), Патрік: Повне черево: Оповідання, № 5/6",1986,"Стайвенс, Дель: Динго: Оповідання, № 11"
"Емері, Джон: Соснова ущелина: Оповідання, № 11",1980 - 1990,Australia
"Кейсі, Гевін: Голос земної глибіні: Оповідання, № 11",1980 - 1990,English
"Кері, Пітер: Американські мрії: Оповідання, № 11",1980 - 1990,1986
"К’юсак, Дімфна: Літо в Берліні: Роман, № 10",1986,"Уотен, Джуда: З революційного життя: Роман, № 02"
"К’юсак, Дімфна: Літо в Берліні: Роман, № 11",1980 - 1990,Australia
"Маршалл, Алан: Четверо у святкових костюмах: Оповідання, № 11",1980 - 1990,English
"Маршалл, Алан: Я навчився стрибати через калюжі: Повість, № 04",1980 - 1990,1986
"Моррісон, Джон: Зустріч: Оповідання, № 04",1986,"Уотен, Джуда: З революційного життя: Роман, № 03"
"Моррісон, Джон: Світ чоловіків: Оповідання, № 11",1970 - 1980,Australia
"Моррісон, Р. Г: Поезії, № 04",1970 - 1980,English
"О’Грейді, Десмонд: Барбекю: Оповідання, № 11",1970 - 1980,1978
"Оуклі, Баррі: Авіалист із Центральної Австралії: Оповідання, № 11",1978,"Філіпсон, Ніл: Як усі люди: Роман, № 11"
"Палмер, Вене: Пташка-райдуга: Оповідання, № 11",1960 - 1970,Australia
"Стайвенс, Дель: Динго: Оповідання, № 11",1960 - 1970,English
"Уотен, Джуда: З революційного життя: Роман, № 02",1960 - 1970,1960
"Уотен, Джуда: З революційного життя: Роман, № 03",1960,"Фокс, Лен: Пісенька про зрошення полів у В’єтнамі, № 04"
"Філіпсон, Ніл: Як усі люди: Роман, № 11",1960 - 1970,Australia
"Фокс, Лен: Пісенька про зрошення полів у В’єтнамі, № 04",1960 - 1970,English
"Фокс, Лен: Колискова-бамбукова: Вірші, № 04",1960 - 1970,1960
"Форшоу, Тельма: Демонстрація: Оповідання, № 11",1960,"Фокс, Лен: Колискова-бамбукова: Вірші, № 04"
"Шеппард, Тріш: Діти сліпоти: Роман, № 12",1980 - 1990,Australia
