id,source,target,color
1970 - 1980,1970 - 1980,Australia,#84B5B2
1977,1970 - 1980,English,#D1605E
1990 - 2000,1970 - 1980,1977,#E59244
1995,1977,"Вайт(Уайт), Патрік: Жіноча рука: Повість, № 12",#F2A2A8
1980 - 1990,1990 - 2000,Australia,#84B5B3
1986,1990 - 2000,English,#D1605E
1960 - 1970,1990 - 2000,1995,#E59245
1961,1995,"Вайт(Уайт), Патрік: Повне черево: Оповідання, № 5/6",#F2A2A9
1950 - 1960,1980 - 1990,Australia,#84B5B4
1959,1980 - 1990,English,#84B5B3
1958,1980 - 1990,1986,#D1605E
1991,1986,"Емері, Джон: Соснова ущелина: Оповідання, № 11",#E59245
1978,1980 - 1990,Australia,#F2A2A9
1960,1980 - 1990,English,#84B5B4
1981,1980 - 1990,1986,#D1605E
1976,1986,"Кейсі, Гевін: Голос земної глибіні: Оповідання, № 11",#E59246
1998,1980 - 1990,Australia,#F2A2A10
1980,1980 - 1990,English,#84B5B5
1994,1980 - 1990,1986,#84B5B4
1984,1986,"Кері, Пітер: Американські мрії: Оповідання, № 11",#D1605E
1973,1960 - 1970,Australia,#E59246
1990,1960 - 1970,English,#F2A2A10
1993,1960 - 1970,1961,#84B5B5
1963,1961,"К’юсак, Дімфна: Літо в Берліні: Роман, № 10",#D1605E
2000,1960 - 1970,Australia,#E59247
1999,1960 - 1970,English,#F2A2A11
1920 - 1930,1960 - 1970,1961,#84B5B6
1928,1961,"К’юсак, Дімфна: Літо в Берліні: Роман, № 11",#84B5B5
1992,1980 - 1990,Australia,#D1605E
1968,1980 - 1990,English,#E59247
1966,1980 - 1990,1986,#84B5B3
1975,1986,"Маршалл, Алан: Четверо у святкових костюмах: Оповідання, № 11",#D1605E
1930 - 1940,1950 - 1960,Australia,#E59245
1932,1950 - 1960,English,#F2A2A9
1988,1950 - 1960,1959,#84B5B4
1962,1959,"Маршалл, Алан: Я навчився стрибати через калюжі: Повість, № 04",#D1605E
1926,1950 - 1960,Australia,#E59246
1927,1950 - 1960,English,#F2A2A10
1972,1950 - 1960,1958,#84B5B2
1979,1958,"Моррісон, Джон: Зустріч: Оповідання, № 04",#84B5B1
1970,1980 - 1990,Australia,#D1605E
1974,1980 - 1990,English,#E59246
1985,1980 - 1990,1986,#F2A2A10
1997,1986,"Моррісон, Джон: Світ чоловіків: Оповідання, № 11",#84B5B5
1989,1990 - 2000,Australia,#D1605E
1996,1990 - 2000,English,#E59247
1983,1990 - 2000,1991,#F2A2A11
1987,1991,"Моррісон, Р. Г: Поезії, № 04",#84B5B3
1967,1980 - 1990,Australia,#84B5B2
1969,1980 - 1990,English,#D1605E
1965,1980 - 1990,1986,#E59247
1971,1986,"О’Грейді, Десмонд: Барбекю: Оповідання, № 11",#F2A2A11
1964,1980 - 1990,Australia,#84B5B6
1934,1980 - 1990,English,#D1605E
