id,size,color,source,target
1970 - 1980,1068,#84B5B2,1970 - 1980,Australia
1925,0,#84B5B2,1970 - 1980,English
1926,4,#84B5B2,1970 - 1980,1977
1927,3,#84B5B2,1977,"Вайт(Уайт), Патрік: Жіноча рука: Повість, № 12"
1928,7,#84B5B2,1990 - 2000,Australia
1929,6,#84B5B2,1990 - 2000,English
1930,2,#84B5B2,1990 - 2000,1995
1931,0,#84B5B2,1995,"Вайт(Уайт), Патрік: Повне черево: Оповідання, № 5/6"
1932,2,#84B5B2,1980 - 1990,Australia
1933,2,#84B5B2,1980 - 1990,English
1934,3,#84B5B2,1980 - 1990,1986
1958,27,#84B5B2,1986,"Емері, Джон: Соснова ущелина: Оповідання, № 11"
1959,44,#84B5B2,1980 - 1990,Australia
1960,29,#84B5B2,1980 - 1990,English
1961,23,#84B5B2,1980 - 1990,1986
1962,32,#84B5B2,1986,"Кейсі, Гевін: Голос земної глибіні: Оповідання, № 11"
1963,36,#84B5B2,1980 - 1990,Australia
1964,25,#84B5B2,1980 - 1990,English
1965,20,#84B5B2,1980 - 1990,1986
1966,21,#84B5B2,1986,"Кері, Пітер: Американські мрії: Оповідання, № 11"
1967,34,#84B5B2,1960 - 1970,Australia
1968,27,#84B5B2,1960 - 1970,English
1969,23,#84B5B2,1960 - 1970,1961
1970,30,#84B5B2,1961,"К’юсак, Дімфна: Літо в Берліні: Роман, № 10"
1971,12,#84B5B2,1960 - 1970,Australia
1972,35,#84B5B2,1960 - 1970,English
1973,30,#84B5B2,1960 - 1970,1961
1974,50,#84B5B2,1961,"К’юсак, Дімфна: Літо в Берліні: Роман, № 11"
1975,19,#84B5B2,1980 - 1990,Australia
1976,58,#84B5B2,1980 - 1990,English
1977,19,#84B5B2,1980 - 1990,1986
1978,64,#84B5B2,1986,"Маршалл, Алан: Четверо у святкових костюмах: Оповідання, № 11"
1979,39,#84B5B2,1950 - 1960,Australia
1980,46,#84B5B2,1950 - 1960,English
1981,36,#84B5B2,1950 - 1960,1959
1982,17,#84B5B2,1959,"Маршалл, Алан: Я навчився стрибати через калюжі: Повість, № 04"
1983,68,#84B5B2,1950 - 1960,Australia
1984,53,#84B5B2,1950 - 1960,English
1985,78,#84B5B2,1950 - 1960,1958
1986,59,#84B5B2,1958,"Моррісон, Джон: Зустріч: Оповідання, № 04"
1987,40,#84B5B2,1980 - 1990,Australia
1988,31,#84B5B2,1980 - 1990,English
1989,40,#84B5B2,1980 - 1990,1986
1990,34,#84B5B2,1986,"Моррісон, Джон: Світ чоловіків: Оповідання, № 11"
1991,29,#84B5B2,1990 - 2000,Australia
1992,14,#84B5B2,1990 - 2000,English
1993,45,#84B5B2,1990 - 2000,1991
1994,21,#84B5B2,1991,"Моррісон, Р. Г: Поезії, № 04"
1995,47,#84B5B2,1980 - 1990,Australia
1996,16,#84B5B2,1980 - 1990,English
1997,32,#84B5B2,1980 - 1990,1986
1998,53,#84B5B2,1986,"О’Грейді, Десмонд: Барбекю: Оповідання, № 11"
1999,23,#84B5B2,1980 - 1990,Australia
2000,35,#84B5B2,1980 - 1990,English
-,0,#84B5B2,1980 - 1990,1986
1920 - 1930,60,#84B5B2,1986,"Оуклі, Баррі: Авіалист із Центральної Австралії: Оповідання, № 11"
1930 - 1940,27,#84B5B2,1980 - 1990,Australia
1950 - 1960,213,#84B5B2,1980 - 1990,English
1960 - 1970,810,#84B5B2,1980 - 1990,1986
1980 - 1990,1405,#84B5B2,1986,"Палмер, Вене: Пташка-райдуга: Оповідання, № 11"
1990 - 2000,1047,#84B5B2,1980 - 1990,Australia
Afghanistan,1,#F2A2A9,1980 - 1990,English
Albania,1,#84B5B4,1980 - 1990,1986
Albanian,1,#D1605E,1986,"Стайвенс, Дель: Динго: Оповідання, № 11"
Algeria,1,#E59246,1980 - 1990,Australia
Angola,1,#F2A2A10,1980 - 1990,English
Arabic,1,#84B5B2,1980 - 1990,1986
Argentina,1,#84B5B1,1986,"Уотен, Джуда: З революційного життя: Роман, № 02"
Armenia,1,#D1605E,1980 - 1990,Australia
Armenian,1,#E59246,1980 - 1990,English
Australia,1,#F2A2A10,1980 - 1990,1986
Austria,1,#84B5B5,1986,"Уотен, Джуда: З революційного життя: Роман, № 03"
Author. Arabic,1,#D1605E,1970 - 1980,Australia
Author. English,1,#E59247,1970 - 1980,English
