id,source,link
0,1970 - 1980,Australia
1,1970 - 1980,English
2,1970 - 1980,1977
3,1977,"Вайт(Уайт), Патрік: Жіноча рука: Повість, № 12"
4,1990 - 2000,Australia
5,1990 - 2000,English
6,1990 - 2000,1995
7,1995,"Вайт(Уайт), Патрік: Повне черево: Оповідання, № 5/6"
8,1980 - 1990,Australia
9,1980 - 1990,English
10,1980 - 1990,1986
11,1986,"Емері, Джон: Соснова ущелина: Оповідання, № 11"
12,1980 - 1990,Australia
13,1980 - 1990,English
14,1980 - 1990,1986
15,1986,"Кейсі, Гевін: Голос земної глибіні: Оповідання, № 11"
16,1980 - 1990,Australia
17,1980 - 1990,English
18,1980 - 1990,1986
19,1986,"Кері, Пітер: Американські мрії: Оповідання, № 11"
20,1960 - 1970,Australia
21,1960 - 1970,English
22,1960 - 1970,1961
23,1961,"К’юсак, Дімфна: Літо в Берліні: Роман, № 10"
24,1960 - 1970,Australia
25,1960 - 1970,English
26,1960 - 1970,1961
27,1961,"К’юсак, Дімфна: Літо в Берліні: Роман, № 11"
28,1980 - 1990,Australia
29,1980 - 1990,English
30,1980 - 1990,1986
31,1986,"Маршалл, Алан: Четверо у святкових костюмах: Оповідання, № 11"
32,1950 - 1960,Australia
33,1950 - 1960,English
34,1950 - 1960,1959
35,1959,"Маршалл, Алан: Я навчився стрибати через калюжі: Повість, № 04"
36,1950 - 1960,Australia
37,1950 - 1960,English
38,1950 - 1960,1958
39,1958,"Моррісон, Джон: Зустріч: Оповідання, № 04"
40,1980 - 1990,Australia
41,1980 - 1990,English
42,1980 - 1990,1986
43,1986,"Моррісон, Джон: Світ чоловіків: Оповідання, № 11"
44,1990 - 2000,Australia
45,1990 - 2000,English
46,1990 - 2000,1991
47,1991,"Моррісон, Р. Г: Поезії, № 04"
48,1980 - 1990,Australia
49,1980 - 1990,English
50,1980 - 1990,1986
51,1986,"О’Грейді, Десмонд: Барбекю: Оповідання, № 11"
52,1980 - 1990,Australia
53,1980 - 1990,English
54,1980 - 1990,1986
55,1986,"Оуклі, Баррі: Авіалист із Центральної Австралії: Оповідання, № 11"
56,1980 - 1990,Australia
57,1980 - 1990,English
58,1980 - 1990,1986
59,1986,"Палмер, Вене: Пташка-райдуга: Оповідання, № 11"
60,1980 - 1990,Australia
61,1980 - 1990,English
62,1980 - 1990,1986
63,1986,"Стайвенс, Дель: Динго: Оповідання, № 11"
64,1980 - 1990,Australia
65,1980 - 1990,English
66,1980 - 1990,1986
67,1986,"Уотен, Джуда: З революційного життя: Роман, № 02"
68,1980 - 1990,Australia
69,1980 - 1990,English
70,1980 - 1990,1986
71,1986,"Уотен, Джуда: З революційного життя: Роман, № 03"
72,1970 - 1980,Australia
73,1970 - 1980,English
74,1970 - 1980,1978
75,1978,"Філіпсон, Ніл: Як усі люди: Роман, № 11"
76,1960 - 1970,Australia
77,1960 - 1970,English
78,1960 - 1970,1960
