id,size,color,source,target
1970 - 1980,1306,#84B5B2,1970 - 1980,Australia
Australia,23,#F2A2A11,Australia,English
English,942,#D1605E,English,"Вайт(Уайт), Патрік"
"Вайт(Уайт), Патрік",0,#E59247,1990 - 2000,Australia
1990 - 2000,997,#84B5B2,Australia,English
1980 - 1990,1459,#84B5B2,English,"Вайт(Уайт), Патрік"
"Емері, Джон",0,#E59247,1980 - 1990,Australia
"Кейсі, Гевін",0,#E59247,Australia,English
"Кері, Пітер",0,#E59247,English,"Емері, Джон"
1960 - 1970,1157,#84B5B2,1980 - 1990,Australia
"К’юсак, Дімфна",0,#E59247,Australia,English
"Маршалл, Алан",0,#E59247,English,"Кейсі, Гевін"
1950 - 1960,192,#84B5B2,1980 - 1990,Australia
"Моррісон, Джон",0,#E59247,Australia,English
"Моррісон, Р. Г",0,#E59247,English,"Кері, Пітер"
"О’Грейді, Десмонд",0,#E59247,1960 - 1970,Australia
"Оуклі, Баррі",0,#E59247,Australia,English
"Палмер, Вене",0,#E59247,English,"К’юсак, Дімфна"
"Стайвенс, Дель",0,#E59247,1960 - 1970,Australia
"Уотен, Джуда",0,#E59247,Australia,English
"Філіпсон, Ніл",0,#E59247,English,"К’юсак, Дімфна"
"Фокс, Лен",0,#E59247,1980 - 1990,Australia
"Форшоу, Тельма",0,#E59247,Australia,English
"Шеппард, Тріш",0,#E59247,English,"Маршалл, Алан"
Austria,59,#F2A2A11,1950 - 1960,Australia
German,413,#D1605E,Australia,English
Абрагам А Санта Клара,0,#E59247,English,"Маршалл, Алан"
"Артманн, Ганс Карл",0,#E59247,1950 - 1960,Australia
"Бахманн, Інгеборг",0,#E59247,Australia,English
"Бернгард, Томас",0,#E59247,English,"Моррісон, Джон"
"Буста, Крістіна",0,#E59247,1980 - 1990,Australia
"Гандке(Хацдке), Петер",0,#E59247,Australia,English
"Захер-Мазох, Леопольд фон",0,#E59247,English,"Моррісон, Джон"
"Кайн, Франц",0,#E59247,1990 - 2000,Australia
"Каснер, Рудольф",0,#E59247,Australia,English
"Кафка, Франц",0,#E59247,English,"Моррісон, Р. Г"
"Кіш, Егон Ервін",0,#E59247,1980 - 1990,Australia
1920 - 1930,487,#84B5B2,Australia,English
"Майрекер, Фрідеріке",0,#E59247,English,"О’Грейді, Десмонд"
"Музіль, Роберт",0,#E59247,1980 - 1990,Australia
"Рансмайр, Крістоф",0,#E59247,Australia,English
"Рільке, Райнер Марія",0,#E59247,English,"Оуклі, Баррі"
"Рот, Йозеф",0,#E59247,1980 - 1990,Australia
"Тракль, Георг",0,#E59247,Australia,English
"Фрід, Еріх",0,#E59247,English,"Палмер, Вене"
"Фрітш, Гергарт",0,#E59247,1980 - 1990,Australia
"Фуссенегер, Гертруда",0,#E59247,Australia,English
1930 - 1940,323,#84B5B2,English,"Стайвенс, Дель"
-,438,#D1605E,1980 - 1990,Australia
"Хайду, Юліус",0,#E59247,Australia,English
"Цвейг, Стефан",0,#E59247,English,"Уотен, Джуда"
"Целан, Пауль",0,#E59247,1980 - 1990,Australia
"Цур Мюлен, Гермінія",0,#E59247,Australia,English
"Яндль, Ернст",0,#E59247,English,"Уотен, Джуда"
Albania,6,#F2A2A11,1970 - 1980,Australia
Albanian,4,#D1605E,Australia,English
"Буджелі, Каміль",0,#E59247,English,"Філіпсон, Ніл"
"Д’ята, Фатмір",0,#E59247,1960 - 1970,Australia
"Щощ, А",0,#E59247,Australia,English
Algeria,17,#F2A2A11,English,"Фокс, Лен"
French,544,#D1605E,1960 - 1970,Australia
"Амруш, Жан",0,#E59247,Australia,English
"Ашур, Мулуд",0,#E59247,English,"Фокс, Лен"
"Булануар, Мессаур",0,#E59247,1980 - 1990,Australia
Arabic,39,#D1605E,Australia,English
"Ваттар, Ат-Тахір",0,#E59247,English,"Форшоу, Тельма"
"Грекі, Анна",0,#E59247,1980 - 1990,Australia
"Джаут, Тагар",0,#E59247,Australia,English
"Діб, Мохаммед",0,#E59247,English,"Шеппард, Тріш"
"Єллес, Мурад",0,#E59247,1970 - 1980,Austria
"Креа, Анрі",0,#E59247,Austria,German
"Саадалла, Абу аль-Касим",0,#E59247,German,Абрагам А Санта Клара
"Салех Алжірський, Абу Абдаллаг",0,#E59247,1990 - 2000,Austria
"Сенак, Жан",0,#E59247,Austria,German
"Фелах, Салах",0,#E59247,German,"Артманн, Ганс Карл"
"Аль-Харфі, Салех ібн-Салех",0,#E59247,1990 - 2000,Austria
"Шаїб, Мохаммед",0,#E59247,Austria,German
Angola,16,#F2A2A11,German,"Бахманн, Інгеборг"
Portuguese,84,#D1605E,1990 - 2000,Austria
"Андраді, Кошта",0,#E59247,Austria,German
Бенудія,0,#E59247,German,"Бернгард, Томас"
"Круш, Віріату да",0,#E59247,1990 - 2000,Austria
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]",0,#E59247,Austria,German
Пепетела,0,#E59247,German,"Буста, Крістіна"
"Роша, Жофре",0,#E59247,1980 - 1990,Austria
"Руй Монтейро, Мануел",0,#E59247,Austria,German
"Сантуш, Арнадду",0,#E59247,German,"Гандке(Хацдке), Петер"
Argentina,63,#F2A2A11,1990 - 2000,Austria
Spanish,459,#D1605E,Austria,German
"Абалос, Хорхе",0,#E59247,German,"Гандке(Хацдке), Петер"
"Аррієта, Рафаель Альберто",0,#E59247,1990 - 2000,Austria
"Банчс, Енріке",0,#E59247,Austria,German
"Боргес(Борхес), Хорхе Луїс",0,#E59247,German,"Захер-Мазох, Леопольд фон"
"Вальш, Марія Елена",0,#E59247,1990 - 2000,Austria
"Гонсалес Туньйон, Рауль",0,#E59247,Austria,German
"Давальос, Хайме",0,#E59247,German,"Захер-Мазох, Леопольд фон"
"Капдевіла, Артуро",0,#E59247,1980 - 1990,Austria
"Касарес, Адольфо Біой",0,#E59247,Austria,German
"Касерес, Херман",0,#E59247,German,"Кайн, Франц"
"Касона, Алехандро",0,#E59247,1970 - 1980,Austria
"Кордова Ітурбуру, Каєтано",0,#E59247,Austria,German
"Кортасар, Хуліо",0,#E59247,German,"Кайн, Франц"
"Костантіні, Умберто",0,#E59247,1990 - 2000,Austria
"Куссані, Агустін",0,#E59247,Austria,German
"Ларра, Рауль",0,#E59247,German,"Каснер, Рудольф"
"Мартіні, Хуан Карлос",0,#E59247,1990 - 2000,Austria
"Молінарі, Рікардо Е",0,#E59247,Austria,German
"Огандо, Еміліо М",0,#E59247,German,"Кафка, Франц"
"Оргамбіде, Педро",0,#E59247,1990 - 2000,Austria
"Прилуцька-Фарни, Юлія",0,#E59247,Austria,German
"Соррентіно, Фернандо",0,#E59247,German,"Кафка, Франц"
"Сторні, Альфонсина(Альфонсіна)",0,#E59247,1990 - 2000,Austria
"Тьємпо, Сесар (справж. ім’я - Цейтлін Ізраїль)",0,#E59247,Austria,German
"Форкат, Хуліо Сесар",0,#E59247,German,"Кафка, Франц"
"Хіхена Санчес, Рафаель",0,#E59247,1990 - 2000,Austria
Afghanistan,13,#F2A2A11,Austria,German
Dari,9,#D1605E,German,"Кафка, Франц"
"Абар, Мір",0,#E59247,1990 - 2000,Austria
Pashto,4,#D1605E,Austria,German
"Зіяр, Муджавар Ахмад",0,#E59247,German,"Кафка, Франц"
"Кавім, Каюм",0,#E59247,1990 - 2000,Austria
"Лаєк, Сулейман",0,#E59247,Austria,German
"Нагібі, Абдулла",0,#E59247,German,"Кафка, Франц"
"Назімі, Латіф",0,#E59247,1990 - 2000,Austria
"Таракі, Нур Мухаммед",0,#E59247,Austria,German
"Туфані, Сиддик Кавун",0,#E59247,German,"Кафка, Франц"
"Хабіб, Асадулла",0,#E59247,1990 - 2000,Austria
"Хабіб, Кадир",0,#E59247,Austria,German
"Хадем, Кіямуддін",0,#E59247,German,"Кафка, Франц"
"Хусейні, Рафат",0,#E59247,1990 - 2000,Austria
Bangladesh,4,#F2A2A11,Austria,German
"Бхоттачарджо, Шуканто",0,#E59247,German,"Кафка, Франц"
"Іслам, Нозрул",0,#E59247,1990 - 2000,Austria
"Шабер, Шохід",0,#E59247,Austria,German
Belgium,20,#F2A2A11,German,"Кафка, Франц"
Flemish,5,#D1605E,1990 - 2000,Austria
"Акен, Піт Ван",0,#E59247,Austria,German
