id,size,color,source,target
1970 - 1980,8.352361651,#84B5B2,1970 - 1980,Australia
Australia,1.129482632,#F2A2A11,Australia,English
English,6.30315825,#D1605E,English,"Вайт(Уайт), Патрік"
"Вайт(Уайт), Патрік",1,#E59247,1990 - 2000,Australia
1990 - 2000,6.612790632,#84B5B2,Australia,English
1980 - 1990,9.21370264,#84B5B2,English,"Вайт(Уайт), Патрік"
"Емері, Джон",1,#E59247,1980 - 1990,Australia
"Кейсі, Гевін",1,#E59247,Australia,English
"Кері, Пітер",1,#E59247,English,"Емері, Джон"
1960 - 1970,7.51353938,#84B5B2,1980 - 1990,Australia
"К’юсак, Дімфна",1,#E59247,Australia,English
"Маршалл, Алан",1,#E59247,English,"Кейсі, Гевін"
1950 - 1960,2.080898497,#84B5B2,1980 - 1990,Australia
"Моррісон, Джон",1,#E59247,Australia,English
"Моррісон, Р. Г",1,#E59247,English,"Кері, Пітер"
"О’Грейді, Десмонд",1,#E59247,1960 - 1970,Australia
"Оуклі, Баррі",1,#E59247,Australia,English
"Палмер, Вене",1,#E59247,English,"К’юсак, Дімфна"
"Стайвенс, Дель",1,#E59247,1960 - 1970,Australia
"Уотен, Джуда",1,#E59247,Australia,English
"Філіпсон, Ніл",1,#E59247,English,"К’юсак, Дімфна"
"Фокс, Лен",1,#E59247,1980 - 1990,Australia
"Форшоу, Тельма",1,#E59247,Australia,English
"Шеппард, Тріш",1,#E59247,English,"Маршалл, Алан"
Austria,1.332151101,#F2A2A11,1950 - 1960,Australia
German,3.325057704,#D1605E,Australia,English
Абрагам А Санта Клара,1,#E59247,English,"Маршалл, Алан"
"Артманн, Ганс Карл",1,#E59247,1950 - 1960,Australia
"Бахманн, Інгеборг",1,#E59247,Australia,English
"Бернгард, Томас",1,#E59247,English,"Моррісон, Джон"
"Буста, Крістіна",1,#E59247,1980 - 1990,Australia
"Гандке(Хацдке), Петер",1,#E59247,Australia,English
"Захер-Мазох, Леопольд фон",1,#E59247,English,"Моррісон, Джон"
"Кайн, Франц",1,#E59247,1990 - 2000,Australia
"Каснер, Рудольф",1,#E59247,Australia,English
"Кафка, Франц",1,#E59247,English,"Моррісон, Р. Г"
"Кіш, Егон Ервін",1,#E59247,1980 - 1990,Australia
1920 - 1930,3.741654,#84B5B2,Australia,English
"Майрекер, Фрідеріке",1,#E59247,English,"О’Грейді, Десмонд"
"Музіль, Роберт",1,#E59247,1980 - 1990,Australia
"Рансмайр, Крістоф",1,#E59247,Australia,English
"Рільке, Райнер Марія",1,#E59247,English,"Оуклі, Баррі"
"Рот, Йозеф",1,#E59247,1980 - 1990,Australia
"Тракль, Георг",1,#E59247,Australia,English
"Фрід, Еріх",1,#E59247,English,"Палмер, Вене"
"Фрітш, Гергарт",1,#E59247,1980 - 1990,Australia
"Фуссенегер, Гертруда",1,#E59247,Australia,English
1930 - 1940,2.818386534,#84B5B2,English,"Стайвенс, Дель"
-,3.465799696,#D1605E,1980 - 1990,Australia
"Хайду, Юліус",1,#E59247,Australia,English
"Цвейг, Стефан",1,#E59247,English,"Уотен, Джуда"
"Целан, Пауль",1,#E59247,1980 - 1990,Australia
"Цур Мюлен, Гермінія",1,#E59247,Australia,English
"Яндль, Ернст",1,#E59247,English,"Уотен, Джуда"
Albania,1.033778078,#F2A2A11,1970 - 1980,Australia
Albanian,1.022518719,#D1605E,Australia,English
"Буджелі, Каміль",1,#E59247,English,"Філіпсон, Ніл"
"Д’ята, Фатмір",1,#E59247,1960 - 1970,Australia
"Щощ, А",1,#E59247,Australia,English
Algeria,1.095704554,#F2A2A11,English,"Фокс, Лен"
French,4.062545741,#D1605E,1960 - 1970,Australia
"Амруш, Жан",1,#E59247,Australia,English
"Ашур, Мулуд",1,#E59247,English,"Фокс, Лен"
"Булануар, Мессаур",1,#E59247,1980 - 1990,Australia
Arabic,1.219557507,#D1605E,Australia,English
"Ваттар, Ат-Тахір",1,#E59247,English,"Форшоу, Тельма"
"Грекі, Анна",1,#E59247,1980 - 1990,Australia
"Джаут, Тагар",1,#E59247,Australia,English
"Діб, Мохаммед",1,#E59247,English,"Шеппард, Тріш"
"Єллес, Мурад",1,#E59247,1970 - 1980,Austria
"Креа, Анрі",1,#E59247,Austria,German
"Саадалла, Абу аль-Касим",1,#E59247,German,Абрагам А Санта Клара
"Салех Алжірський, Абу Абдаллаг",1,#E59247,1990 - 2000,Austria
"Сенак, Жан",1,#E59247,Austria,German
"Фелах, Салах",1,#E59247,German,"Артманн, Ганс Карл"
"Аль-Харфі, Салех ібн-Салех",1,#E59247,1990 - 2000,Austria
"Шаїб, Мохаммед",1,#E59247,Austria,German
Angola,1.090074875,#F2A2A11,German,"Бахманн, Інгеборг"
Portuguese,1.472893092,#D1605E,1990 - 2000,Austria
"Андраді, Кошта",1,#E59247,Austria,German
Бенудія,1,#E59247,German,"Бернгард, Томас"
"Круш, Віріату да",1,#E59247,1990 - 2000,Austria
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]",1,#E59247,Austria,German
Пепетела,1,#E59247,German,"Буста, Крістіна"
"Роша, Жофре",1,#E59247,1980 - 1990,Austria
"Руй Монтейро, Мануел",1,#E59247,Austria,German
"Сантуш, Арнадду",1,#E59247,German,"Гандке(Хацдке), Петер"
Argentina,1.354669819,#F2A2A11,1990 - 2000,Austria
Spanish,3.584022969,#D1605E,Austria,German
"Абалос, Хорхе",1,#E59247,German,"Гандке(Хацдке), Петер"
"Аррієта, Рафаель Альберто",1,#E59247,1990 - 2000,Austria
"Банчс, Енріке",1,#E59247,Austria,German
"Боргес(Борхес), Хорхе Луїс",1,#E59247,German,"Захер-Мазох, Леопольд фон"
"Вальш, Марія Елена",1,#E59247,1990 - 2000,Austria
"Гонсалес Туньйон, Рауль",1,#E59247,Austria,German
"Давальос, Хайме",1,#E59247,German,"Захер-Мазох, Леопольд фон"
"Капдевіла, Артуро",1,#E59247,1980 - 1990,Austria
"Касарес, Адольфо Біой",1,#E59247,Austria,German
"Касерес, Херман",1,#E59247,German,"Кайн, Франц"
"Касона, Алехандро",1,#E59247,1970 - 1980,Austria
"Кордова Ітурбуру, Каєтано",1,#E59247,Austria,German
"Кортасар, Хуліо",1,#E59247,German,"Кайн, Франц"
"Костантіні, Умберто",1,#E59247,1990 - 2000,Austria
"Куссані, Агустін",1,#E59247,Austria,German
"Ларра, Рауль",1,#E59247,German,"Каснер, Рудольф"
"Мартіні, Хуан Карлос",1,#E59247,1990 - 2000,Austria
"Молінарі, Рікардо Е",1,#E59247,Austria,German
"Огандо, Еміліо М",1,#E59247,German,"Кафка, Франц"
"Оргамбіде, Педро",1,#E59247,1990 - 2000,Austria
"Прилуцька-Фарни, Юлія",1,#E59247,Austria,German
"Соррентіно, Фернандо",1,#E59247,German,"Кафка, Франц"
"Сторні, Альфонсина(Альфонсіна)",1,#E59247,1990 - 2000,Austria
"Тьємпо, Сесар (справж. ім’я - Цейтлін Ізраїль)",1,#E59247,Austria,German
"Форкат, Хуліо Сесар",1,#E59247,German,"Кафка, Франц"
"Хіхена Санчес, Рафаель",1,#E59247,1990 - 2000,Austria
Afghanistan,1.073185836,#F2A2A11,Austria,German
Dari,1.050667117,#D1605E,German,"Кафка, Франц"
"Абар, Мір",1,#E59247,1990 - 2000,Austria
Pashto,1.022518719,#D1605E,Austria,German
"Зіяр, Муджавар Ахмад",1,#E59247,German,"Кафка, Франц"
"Кавім, Каюм",1,#E59247,1990 - 2000,Austria
"Лаєк, Сулейман",1,#E59247,Austria,German
"Нагібі, Абдулла",1,#E59247,German,"Кафка, Франц"
"Назімі, Латіф",1,#E59247,1990 - 2000,Austria
"Таракі, Нур Мухаммед",1,#E59247,Austria,German
"Туфані, Сиддик Кавун",1,#E59247,German,"Кафка, Франц"
"Хабіб, Асадулла",1,#E59247,1990 - 2000,Austria
"Хабіб, Кадир",1,#E59247,Austria,German
"Хадем, Кіямуддін",1,#E59247,German,"Кафка, Франц"
"Хусейні, Рафат",1,#E59247,1990 - 2000,Austria
Bangladesh,1.022518719,#F2A2A11,Austria,German
"Бхоттачарджо, Шуканто",1,#E59247,German,"Кафка, Франц"
"Іслам, Нозрул",1,#E59247,1990 - 2000,Austria
"Шабер, Шохід",1,#E59247,Austria,German
Belgium,1.112593593,#F2A2A11,German,"Кафка, Франц"
Flemish,1.028148398,#D1605E,1990 - 2000,Austria
"Акен, Піт Ван",1,#E59247,Austria,German
"Ван Лерберг, Шарль",1,#E59247,German,"Кафка, Франц"
"Ванделоо, Йос",1,#E59247,1990 - 2000,Austria
"Верхарн, Еміль",1,#E59247,Austria,German
"Елсхот, Віллєм(Ван-Ріддер)",1,#E59247,German,"Кафка, Франц"
"Елсхот, Віллєм (Ван-Ріддер)",1,#E59247,1990 - 2000,Austria
"Ертай, Жаклін",1,#E59247,Austria,German
"Жакмен, Франсуа",1,#E59247,German,"Кафка, Франц"
"Клаус, Гуґо",1,#E59247,1960 - 1970,Austria
"Лемоньє, Каміл",1,#E59247,Austria,German
"Лодомез, Аєтон",1,#E59247,German,"Кафка, Франц"
"Нело, Жіль",1,#E59247,1960 - 1970,Austria
"Пер’є, Оділон-Жан",1,#E59247,Austria,German
Єтецик Ірен,1,#E59247,German,"Кафка, Франц"
"Тесса, Франсіс",1,#E59247,1960 - 1970,Austria
"Фалкенаре, Жюльєн де",1,#E59247,Austria,German
"Юбен, Крістіан",1,#E59247,German,"Кафка, Франц"
Benin,1.016889039,#F2A2A11,1960 - 1970,Austria
"Асонгба, Ромен",1,#E59247,Austria,German
"Суману, Мама",1,#E59247,German,"Кафка, Франц"
Belarus,1.028148398,#F2A2A11,1960 - 1970,Austria
Belarusian,1.028148398,#D1605E,Austria,German
"Богданович, Максим",1,#E59247,German,"Кафка, Франц"
"Гартни, Цішка",1,#E59247,1990 - 2000,Austria
"Колас, Якуб",1,#E59247,Austria,German
"Крапіва, К.А",1,#E59247,German,"Кафка, Франц"
"Купала, Янка",1,#E59247,1990 - 2000,Austria
Bulgaria,2.474976074,#F2A2A11,Austria,German
Bulgarian,2.446827676,#D1605E,German,"Кафка, Франц"
"Анастасов, Петр",1,#E59247,1990 - 2000,Austria
"Андреев, Андрей",1,#E59247,Austria,German
"Андреев, Веселин",1,#E59247,German,"Кафка, Франц"
"Априлов, Борис",1,#E59247,1990 - 2000,Austria
"Атанасов, Герчо",1,#E59247,Austria,German
"Багряна, Єлисавета",1,#E59247,German,"Кафка, Франц"
"Банов, Банчо",1,#E59247,1990 - 2000,Austria
"Башев, Володимир (Владимир)",1,#E59247,Austria,German
"Белев, Кристо",1,#E59247,German,"Кіш, Егон Ервін"
"Божилов, Божидар",1,#E59247,1920 - 1930,Austria
"Бонев, Петер",1,#E59247,Austria,German
"Ботев, Христо",1,#E59247,German,"Кіш, Егон Ервін"
"Бумов, Радослав",1,#E59247,1990 - 2000,Austria
"Бурнаскі, Евстаті",1,#E59247,Austria,German
"Вазов, Іван",1,#E59247,German,"Майрекер, Фрідеріке"
"Вапцаров, Никола",1,#E59247,1990 - 2000,Austria
"Василев, Димитр",1,#E59247,Austria,German
"Василев(Василеві), Орлин",1,#E59247,German,"Музіль, Роберт"
"Вежинов, Павел",1,#E59247,1990 - 2000,Austria
"Величков, Георгій",1,#E59247,Austria,German
"Велков, Крум",1,#E59247,German,"Рансмайр, Крістоф"
"Вилчев, Найден",1,#E59247,1970 - 1980,Austria
"Габе, Дора",1,#E59247,Austria,German
"Георгієв, Велин",1,#E59247,German,"Рільке, Райнер Марія"
"Германов, Андрей",1,#E59247,1970 - 1980,Austria
